stock_code,sector
000001,银行
000002,房地产
000004,科技
000006,房地产
000007,房地产
000008,军工
000009,券商
000010,建筑
000011,房地产
000012,建材
000014,房地产
000016,科技
000017,消费
000019,消费
000020,科技
000021,科技
000025,消费
000026,消费
000027,电力
000028,消费
000029,房地产
000030,汽车
000031,房地产
000034,消费
000035,环保
000036,房地产
000037,电力
000039,建材
000042,房地产
000045,科技
000048,农业
000049,新能源
000050,科技
000055,建材
000056,消费
000058,消费
000059,煤炭
000060,有色
000061,消费
000062,消费
000063,科技
000065,消费
000066,科技
000068,消费
000069,房地产
000070,科技
000078,消费
000088,交通
000089,交通
000090,建筑
000096,消费
000099,交通
000100,科技
000151,消费
000153,医药
000155,电力
000156,科技
000157,科技
000158,科技
000159,消费
000166,券商
000301,化工
000333,新能源
000338,汽车
000400,新能源
000401,建材
000402,房地产
000403,医药
000404,科技
000407,电力
000408,化工
000409,科技
000410,科技
000411,消费
000415,交通
000417,消费
000419,消费
000420,化工
000421,电力
000422,化工
000423,医药
000425,科技
000426,有色
000428,消费
000429,交通
000430,环保
000488,消费
000498,建筑
000501,消费
000503,传媒
000505,消费
000506,有色
000507,交通
000509,科技
000510,化工
000513,医药
000514,房地产
000517,房地产
000518,医药
000519,科技
000520,交通
000521,新能源
000523,消费
000524,消费
000525,化工
000528,科技
000529,消费
000530,科技
000531,电力
000533,新能源
000534,医药
000536,科技
000537,电力
000538,医药
000539,电力
000541,新能源
000543,电力
000544,电力
000545,化工
000546,环保
000547,科技
000548,交通
000550,汽车
000551,科技
000552,煤炭
000553,化工
000554,消费
000555,科技
000557,交通
000558,环保
000559,汽车
000560,房地产
000561,科技
000563,券商
000564,消费
000565,化工
000566,医药
000567,券商
000568,白酒
000570,科技
000571,煤炭
000572,汽车
000573,环保
000576,科技
000581,汽车
000582,交通
000586,新能源
000589,化工
000590,医药
000591,电力
000592,建材
000593,电力
000595,科技
000596,白酒
000597,医药
000598,电力
000599,化工
000600,电力
000601,电力
000603,有色
000605,电力
000607,消费
000608,房地产
000610,消费
000612,有色
000617,银行
000619,化工
000620,房地产
000623,医药
000625,汽车
000626,消费
000629,有色
000630,有色
000631,房地产
000632,消费
000633,有色
000635,化工
000636,科技
000637,化工
000639,消费
000650,医药
000651,新能源
000652,消费
000655,钢铁
000656,房地产
000657,建材
000659,化工
000661,医药
000663,农业
000665,科技
000668,房地产
000669,电力
000670,消费
000672,建材
000676,消费
000677,消费
000678,汽车
000679,消费
000680,科技
000681,传媒
000682,科技
000683,化工
000685,电力
000686,券商
000688,有色
000690,电力
000691,化工
000692,电力
000695,建材
000697,军工
000698,化工
000700,汽车
000701,消费
000702,消费
000703,化工
000705,消费
000707,化工
000708,钢铁
000709,钢铁
000710,科技
000711,环保
000712,券商
000715,消费
000716,消费
000717,钢铁
000718,房地产
000719,传媒
000720,新能源
000721,消费
000722,电力
000723,煤炭
000725,科技
000726,消费
000727,科技
000728,券商
000729,白酒
000731,化工
000733,科技
000735,农业
000736,房地产
000737,有色
000738,军工
000739,医药
000750,券商
000751,有色
000752,白酒
000753,消费
000755,交通
000756,医药
000757,消费
000758,有色
000759,消费
000761,钢铁
000762,有色
000766,医药
000767,电力
000768,军工
000776,券商
000777,科技
000778,建材
000779,科技
000782,化工
000783,券商
000785,消费
000786,建材
000788,医药
000789,建材
000790,医药
000791,电力
000792,化工
000793,传媒
000795,建材
000796,消费
000797,房地产
000798,农业
000799,白酒
000800,汽车
000801,科技
000802,传媒
000803,环保
000807,有色
000809,新能源
000810,科技
000811,科技
000812,传媒
000813,医药
000815,消费
000816,科技
000818,化工
000819,煤炭
000820,科技
000821,科技
000822,化工
000823,科技
000825,钢铁
000826,环保
000828,交通
000829,消费
000830,化工
000831,有色
000837,科技
000838,房地产
000839,科技
000848,白酒
000850,消费
000852,科技
000856,科技
000858,白酒
000859,化工
000860,白酒
000862,电力
000863,房地产
000868,汽车
000869,白酒
000875,电力
000876,消费
000877,建材
000878,有色
000880,科技
000881,化工
000882,消费
000883,电力
000885,环保
000886,交通
000887,化工
000888,环保
000889,科技
000890,建材
000892,传媒
000893,化工
000895,消费
000897,房地产
000898,钢铁
000899,电力
000900,交通
000901,汽车
000902,化工
000903,科技
000905,消费
000906,消费
000908,医药
000909,房地产
000910,建材
000911,消费
000912,化工
000913,军工
000915,医药
000917,科技
000919,医药
000920,化工
000921,新能源
000922,新能源
000923,钢铁
000925,军工
000926,房地产
000927,消费
000928,建筑
000929,白酒
000930,化工
000931,医药
000932,钢铁
000933,有色
000935,建材
000936,化工
000937,煤炭
000938,科技
000948,科技
000949,化工
000950,消费
000951,汽车
000952,医药
000953,医药
000955,消费
000957,汽车
000958,电力
000959,钢铁
000960,有色
000962,有色
000963,消费
000965,房地产
000966,电力
000967,科技
000968,煤炭
000969,建材
000970,科技
000972,消费
000973,化工
000975,有色
000977,科技
000978,环保
000980,汽车
000981,汽车
000983,煤炭
000985,化工
000987,券商
000988,科技
000989,医药
000990,化工
000993,电力
000995,白酒
000997,科技
000999,医药
001201,农业
001202,交通
001203,钢铁
001205,交通
001206,消费
001207,化工
001208,新能源
001209,消费
001210,电力
001211,建材
001212,建材
001213,交通
001215,消费
001216,建材
001217,化工
001218,化工
001219,消费
001220,交通
001221,建材
001222,消费
001223,科技
001225,科技
001226,科技
001227,银行
001228,消费
001229,科技
001230,环保
001231,化工
001233,化工
001234,消费
001236,券商
001237,新能源
001238,消费
001239,建材
001255,化工
001256,科技
001257,有色
001258,电力
001259,新能源
001260,汽车
001266,科技
001267,科技
001268,科技
001269,环保
001270,科技
001278,汽车
001279,传媒
001280,有色
001282,汽车
001283,新能源
001285,科技
001286,电力
001287,消费
001288,科技
001289,电力
001296,建材
001298,消费
001299,电力
001300,消费
001301,建材
001306,科技
001308,科技
001309,科技
001311,汽车
001312,消费
001313,消费
001314,科技
001316,消费
001317,交通
001318,消费
001319,汽车
001322,建材
001323,消费
001324,军工
001325,化工
001326,新能源
001328,化工
001330,传媒
001331,电力
001332,建材
001333,化工
001335,消费
001336,科技
001337,有色
001338,白酒
001339,科技
001356,化工
001358,化工
001359,建材
001360,科技
001365,汽车
001366,消费
001367,医药
001368,化工
001369,化工
001373,科技
001376,电力
001378,化工
001379,科技
001380,科技
001382,新能源
001386,建材
001387,新能源
001388,科技
001389,科技
001390,消费
001391,交通
001393,新能源
001395,科技
001396,科技
001400,科技
001696,科技
001872,交通
001896,电力
001914,房地产
001965,交通
001979,房地产
002001,医药
002003,消费
002004,化工
002005,新能源
002006,科技
002007,医药
002008,科技
002009,科技
002010,消费
002011,科技
002012,消费
002014,化工
002015,电力
002016,房地产
002017,科技
002019,医药
002020,医药
002021,科技
002022,医药
002024,消费
002025,科技
002026,新能源
002027,消费
002028,新能源
002029,消费
002030,医药
002031,科技
002032,新能源
002033,环保
002034,电力
002035,新能源
002036,科技
002037,化工
002038,医药
002039,电力
002040,交通
002042,消费
002043,建材
002045,科技
002046,科技
002047,建筑
002048,汽车
002049,科技
002050,科技
002051,建筑
002052,科技
002053,电力
002054,化工
002055,科技
002056,新能源
002057,化工
002058,科技
002059,环保
002060,建筑
002061,建筑
002062,建筑
002063,科技
002064,化工
002065,科技
002066,建材
002067,消费
002068,化工
002069,农业
002072,消费
002073,科技
002074,新能源
002075,钢铁
002076,新能源
002077,科技
002078,消费
002079,科技
002080,建材
002081,建筑
002082,医药
002083,消费
002084,建材
002085,汽车
002086,农业
002088,建材
002090,新能源
002091,消费
002092,化工
002093,科技
002094,化工
002095,传媒
002096,化工
002097,科技
002098,消费
002099,医药
002100,消费
002101,汽车
002102,医药
002103,消费
002104,科技
002105,军工
002106,科技
002107,医药
002108,化工
002109,化工
002110,钢铁
002111,科技
002112,新能源
002114,有色
002115,消费
002116,建筑
002117,传媒
002119,科技
002120,交通
002121,科技
002122,科技
002123,科技
002124,农业
002125,化工
002126,汽车
002127,消费
002128,煤炭
002129,新能源
002130,科技
002131,消费
002132,建材
002133,房地产
002134,科技
002135,建材
002136,化工
002137,新能源
002138,科技
002139,新能源
002140,建筑
002141,新能源
002142,银行
002144,消费
002145,化工
002146,房地产
002148,科技
002149,有色
002150,新能源
002151,科技
002152,科技
002153,科技
002154,消费
002155,有色
002156,科技
002157,农业
002158,科技
002159,环保
002160,有色
002161,科技
002162,建材
002163,建筑
002164,科技
002165,化工
002166,医药
002167,有色
002168,新能源
002169,新能源
002170,化工
002171,有色
002174,传媒
002175,科技
002176,有色
002177,科技
002178,科技
002179,科技
002180,科技
002181,消费
002182,有色
002183,消费
002184,新能源
002185,科技
002186,消费
002187,消费
002188,房地产
002189,科技
002190,汽车
002191,传媒
002192,有色
002193,消费
002194,科技
002195,传媒
002196,新能源
002197,科技
002198,医药
002199,科技
002200,建筑
002201,建材
002202,科技
002203,有色
002204,科技
002205,建材
002206,化工
002207,煤炭
002208,房地产
002209,科技
002210,消费
002211,化工
002212,科技
002213,科技
002214,科技
002215,化工
002216,消费
002217,科技
002218,新能源
002221,消费
002222,科技
002223,科技
002224,化工
002225,建材
002226,化工
002227,新能源
002228,消费
002229,传媒
002230,科技
002232,科技
002233,建材
002234,农业
002235,消费
002236,科技
002237,有色
002238,科技
002239,汽车
002240,有色
002241,科技
002242,新能源
002243,化工
002244,房地产
002245,新能源
002246,化工
002247,消费
002248,科技
002249,新能源
002250,化工
002251,消费
002252,医药
002253,科技
002254,化工
002255,科技
002256,电力
002258,化工
002259,电力
002261,科技
002262,医药
002263,化工
002264,传媒
002265,汽车
002266,环保
002267,电力
002268,科技
002269,消费
002270,新能源
002271,建材
002272,科技
002273,科技
002274,化工
002275,医药
002276,新能源
002277,消费
002278,科技
002279,科技
002281,科技
002282,建材
002283,汽车
002284,汽车
002285,房地产
002286,消费
002287,医药
002289,科技
002290,新能源
002291,传媒
002292,消费
002293,消费
002294,医药
002295,有色
002296,新能源
002297,建材
002298,新能源
002299,消费
002300,新能源
002301,消费
002302,建材
002303,消费
002304,白酒
002305,房地产
002306,消费
002307,建筑
002309,新能源
002310,电力
002311,消费
002312,化工
002313,科技
002314,房地产
002315,传媒
002316,科技
002317,医药
002318,建材
002319,化工
002320,交通
002321,农业
002322,科技
002323,建筑
002324,化工
002326,化工
002327,消费
002328,汽车
002329,消费
002330,消费
002331,科技
002332,医药
002333,有色
002334,新能源
002335,新能源
002337,科技
002338,科技
002339,新能源
002340,环保
002342,建材
002343,传媒
002344,消费
002345,消费
002346,新能源
002347,科技
002348,消费
002349,医药
002350,新能源
002351,科技
002352,交通
002353,科技
002354,传媒
002355,汽车
002356,消费
002357,交通
002358,新能源
002360,化工
002361,化工
002362,科技
002363,汽车
002364,新能源
002365,医药
002366,科技
002367,科技
002368,科技
002369,科技
002370,医药
002371,科技
002372,化工
002373,科技
002374,建材
002375,建筑
002376,科技
002377,煤炭
002378,有色
002379,有色
002380,科技
002381,化工
002382,化工
002383,科技
002384,科技
002385,消费
002386,化工
002387,科技
002388,科技
002389,军工
002390,消费
002391,化工
002392,建材
002393,医药
002394,消费
002395,化工
002396,科技
002397,消费
002398,化工
002399,医药
002400,消费
002401,科技
002402,科技
002403,建材
002404,消费
002405,科技
002406,汽车
002407,化工
002408,化工
002409,化工
002410,科技
002412,医药
002413,科技
002414,科技
002415,科技
002416,消费
002418,科技
002419,消费
002420,化工
002421,科技
002422,医药
002423,保险
002424,医药
002425,传媒
002426,科技
002427,化工
002428,有色
002429,科技
002430,科技
002431,建筑
002432,科技
002434,汽车
002436,科技
002437,医药
002438,科技
002439,科技
002440,化工
002441,消费
002442,化工
002443,建材
002444,建材
002445,建材
002446,科技
002448,汽车
002449,科技
002451,新能源
002452,新能源
002453,化工
002454,汽车
002455,化工
002456,科技
002457,建材
002458,农业
002459,新能源
002460,有色
002461,白酒
002462,消费
002463,科技
002465,科技
002466,有色
002467,传媒
002468,交通
002469,化工
002470,化工
002471,新能源
002472,汽车
002474,科技
002475,科技
002476,化工
002478,建材
002479,电力
002480,科技
002481,消费
002482,建筑
002483,科技
002484,科技
002485,消费
002486,消费
002487,建材
002488,汽车
002489,消费
002490,科技
002491,新能源
002493,化工
002494,消费
002495,消费
002496,化工
002497,有色
002498,新能源
002500,券商
002501,有色
002506,新能源
002507,消费
002508,新能源
002510,汽车
002511,消费
002512,科技
002513,新能源
002514,建材
002515,消费
002516,消费
002517,传媒
002518,新能源
002519,科技
002520,科技
002521,消费
002522,化工
002523,科技
002526,科技
002527,科技
002528,科技
002529,科技
002530,建材
002531,新能源
002532,有色
002533,新能源
002534,科技
002535,科技
002536,汽车
002537,汽车
002538,化工
002539,化工
002540,有色
002541,建材
002542,建筑
002543,新能源
002544,科技
002545,化工
002546,科技
002547,建材
002548,消费
002549,环保
002550,医药
002551,科技
002552,科技
002553,汽车
002554,煤炭
002555,传媒
002556,消费
002557,消费
002558,传媒
002559,科技
002560,新能源
002561,消费
002562,医药
002563,消费
002564,科技
002565,消费
002566,医药
002567,消费
002568,白酒
002569,消费
002570,消费
002571,建材
002572,消费
002573,环保
002574,消费
002575,消费
002576,新能源
002577,科技
002578,有色
002579,科技
002580,新能源
002581,医药
002582,消费
002583,科技
002584,化工
002585,化工
002586,建筑
002587,科技
002588,化工
002589,消费
002590,汽车
002591,化工
002592,汽车
002593,汽车
002594,汽车
002595,科技
002596,建材
002597,消费
002598,科技
002599,传媒
002600,科技
002601,化工
002602,传媒
002603,医药
002605,传媒
002606,新能源
002608,电力
002609,科技
002611,科技
002612,消费
002613,科技
002614,新能源
002615,建材
002616,环保
002617,新能源
002620,建筑
002623,建材
002624,传媒
002625,军工
002626,消费
002627,环保
002628,建筑
002629,煤炭
002630,科技
002631,建材
002632,化工
002633,科技
002634,消费
002635,科技
002636,科技
002637,化工
002638,新能源
002639,科技
002640,消费
002641,化工
002642,科技
002643,化工
002644,医药
002645,环保
002646,白酒
002647,券商
002648,化工
002649,科技
002650,消费
002651,科技
002652,建材
002653,医药
002654,消费
002655,科技
002656,消费
002657,科技
002658,科技
002660,科技
002661,消费
002662,汽车
002663,建筑
002664,汽车
002666,化工
002667,有色
002668,新能源
002669,化工
002670,券商
002671,建材
002672,环保
002673,券商
002674,消费
002675,医药
002676,化工
002677,新能源
002678,消费
002679,农业
002681,科技
002682,交通
002683,煤炭
002685,科技
002686,科技
002687,消费
002688,医药
002689,科技
002690,科技
002691,科技
002692,新能源
002693,医药
002694,化工
002695,消费
002696,消费
002697,消费
002698,科技
002700,电力
002701,建材
002702,消费
002703,汽车
002705,新能源
002706,新能源
002707,消费
002708,汽车
002709,科技
002712,消费
002713,建筑
002714,农业
002715,汽车
002716,有色
002717,环保
002718,消费
002719,消费
002721,消费
002722,建材
002723,新能源
002724,新能源
002725,汽车
002726,消费
002727,消费
002728,医药
002729,科技
002730,科技
002731,消费
002732,消费
002733,新能源
002734,化工
002735,化工
002736,券商
002737,医药
002738,有色
002739,传媒
002741,科技
002742,建材
002743,建材
002745,新能源
002746,消费
002747,科技
002748,化工
002749,化工
002752,建材
002753,化工
002755,医药
002756,有色
002757,科技
002758,消费
002759,化工
002760,建材
002761,建筑
002762,消费
002763,消费
002765,汽车
002766,科技
002767,科技
002768,化工
002769,消费
002771,科技
002772,农业
002773,医药
002774,科技
002775,建筑
002777,科技
002778,煤炭
002779,科技
002780,消费
002782,科技
002783,化工
002785,建材
002786,科技
002787,建材
002788,消费
002789,建筑
002790,化工
002791,建材
002792,科技
002793,医药
002795,科技
002796,科技
002797,券商
002798,建材
002799,消费
002800,交通
002801,新能源
002802,化工
002803,消费
002805,科技
002806,科技
002807,银行
002808,科技
002809,化工
002810,化工
002811,科技
002812,化工
002813,科技
002815,科技
002816,科技
002817,医药
002818,消费
002819,消费
002820,消费
002821,医药
002822,建筑
002823,新能源
002824,汽车
002825,化工
002826,医药
002827,化工
002828,煤炭
002829,军工
002830,建筑
002831,消费
002832,消费
002833,科技
002835,科技
002836,传媒
002837,科技
002838,化工
002839,银行
002840,消费
002841,科技
002842,有色
002843,科技
002845,科技
002846,建材
002847,消费
002848,科技
002849,科技
002850,建材
002851,新能源
002852,消费
002853,消费
002855,科技
002856,建筑
002857,科技
002859,科技
002860,新能源
002861,科技
002862,消费
002863,汽车
002864,医药
002865,新能源
002866,科技
002867,消费
002868,医药
002869,科技
002870,汽车
002871,科技
002872,医药
002873,医药
002875,消费
002876,科技
002877,科技
002878,消费
002879,新能源
002880,医药
002881,科技
002882,新能源
002883,科技
002884,科技
002885,科技
002886,化工
002887,环保
002888,科技
002889,消费
002890,科技
002891,消费
002892,新能源
002893,电力
002895,化工
002896,科技
002897,新能源
002898,医药
002899,消费
002900,医药
002901,科技
002902,科技
002903,科技
002905,传媒
002906,科技
002907,医药
002908,科技
002909,化工
002910,消费
002911,电力
002912,科技
002913,科技
002915,化工
002916,科技
002917,化工
002918,建材
002919,传媒
002920,科技
002921,科技
002922,新能源
002923,医药
002925,科技
002926,券商
002927,新能源
002928,交通
002929,科技
002931,科技
002932,医药
002933,军工
002935,科技
002936,银行
002937,科技
002938,科技
002939,券商
002940,医药
002941,建筑
002942,化工
002943,科技
002945,券商
002946,消费
002947,科技
002948,银行
002949,科技
002950,医药
002951,传媒
002952,科技
002953,新能源
002955,科技
002956,消费
002957,科技
002958,银行
002959,新能源
002960,科技
002961,券商
002962,科技
002963,建筑
002965,汽车
002966,银行
002967,科技
002968,房地产
002969,建材
002970,科技
002971,化工
002972,科技
002973,环保
002975,科技
002976,建材
002977,科技
002978,有色
002979,科技
002980,科技
002981,科技
002982,农业
002983,科技
002984,化工
002985,军工
002986,化工
002987,科技
002988,有色
002989,建筑
002990,科技
002991,消费
002992,科技
002993,科技
002995,消费
002996,环保
002997,科技
002998,化工
002999,消费
003000,消费
003001,建筑
003002,化工
003003,传媒
003004,科技
003005,科技
003006,消费
003007,科技
003008,科技
003009,军工
003010,传媒
003011,化工
003012,建材
003013,科技
003015,科技
003016,消费
003017,化工
003018,化工
003019,科技
003020,医药
003021,新能源
003022,化工
003023,新能源
003025,科技
003026,科技
003027,环保
003028,科技
003029,科技
003030,消费
003031,科技
003033,军工
003036,科技
003037,建材
003038,有色
003039,电力
003040,科技
003041,消费
003042,化工
003043,建材
003816,电力
300001,新能源
300002,传媒
300003,科技
300004,科技
300005,消费
300006,医药
300007,科技
300008,军工
300009,医药
300010,科技
300011,军工
300012,科技
300014,新能源
300016,医药
300017,科技
300018,新能源
300019,化工
300020,科技
300021,电力
300022,消费
300024,科技
300025,科技
300026,医药
300027,传媒
300029,建筑
300030,科技
300031,传媒
300032,新能源
300033,券商
300034,有色
300035,科技
300036,科技
300037,科技
300039,医药
300040,电力
300041,化工
300042,科技
300043,传媒
300044,科技
300045,科技
300046,科技
300047,科技
