source,code,check,pass,match_rate,detail
pledge_processed,AGG,pit_lag,True,,"14 ok, 0 bad, 16 skipped"
index_membership_processed,AGG,pit_lag,True,,"11 ok, 0 bad, 19 skipped"
board_processed,AGG,pit_lag,True,,"30 ok, 0 bad, 0 skipped"
board_processed,AGG,pit_lag,True,,"30 ok, 0 bad, 0 skipped"
board_processed,AGG,pit_lag,True,,"30 ok, 0 bad, 0 skipped"
board_processed,AGG,pit_lag,True,,"30 ok, 0 bad, 0 skipped"
IC,AGG,high_ic,False,,market_state_volatile ic_cross=0.291 — review for leakage
IC,AGG,high_ic,False,,market_state_normal_lag1 ic_cross=0.291 — review for leakage
IC,AGG,high_ic,False,,avg_concept_heat_lag1 ic_cross=0.288 — review for leakage
IC,AGG,high_ic,False,,board_overlap_score_lag1 ic_cross=0.288 — review for leakage
IC,AGG,high_ic,False,,board_count_lag1 ic_cross=0.288 — review for leakage
IC,AGG,high_ic,False,,has_hot_board_lag1 ic_cross=0.288 — review for leakage
IC,AGG,high_ic,False,,cb_0_lag1 ic_cross=0.235 — review for leakage
IC,AGG,high_ic,False,,board_overlap_score ic_cross=0.224 — review for leakage
IC,AGG,high_ic,False,,has_hot_board ic_cross=0.224 — review for leakage
IC,AGG,high_ic,False,,avg_concept_heat ic_cross=0.224 — review for leakage
IC,AGG,high_ic,False,,board_count ic_cross=0.224 — review for leakage
IC,AGG,high_ic,False,,market_state_normal_lag2 ic_cross=0.211 — review for leakage
IC,AGG,high_ic,False,,cb_0 ic_cross=0.194 — review for leakage
IC,AGG,high_ic,False,,board_count_lag2 ic_cross=0.191 — review for leakage
IC,AGG,high_ic,False,,board_overlap_score_lag2 ic_cross=0.191 — review for leakage
IC,AGG,high_ic,False,,has_hot_board_lag2 ic_cross=0.191 — review for leakage
IC,AGG,high_ic,False,,avg_concept_heat_lag2 ic_cross=0.191 — review for leakage
IC,AGG,high_ic,False,,board_momentum_max_lag3 ic_cross=0.173 — review for leakage
IC,AGG,high_ic,False,,board_momentum_mean_lag3 ic_cross=0.173 — review for leakage
IC,AGG,high_ic,False,,cb_0_lag2 ic_cross=0.151 — review for leakage
IC,AGG,high_ic,False,,is_dt_lag5 ic_cross=-0.164 — review for leakage
IC,AGG,high_ic,False,,is_dt_lag20 ic_cross=-0.168 — review for leakage
IC,AGG,high_ic,False,,cb_0_lag5 ic_cross=-0.171 — review for leakage
IC,AGG,high_ic,False,,board_count_lag5 ic_cross=-0.174 — review for leakage
IC,AGG,high_ic,False,,avg_concept_heat_lag5 ic_cross=-0.174 — review for leakage
IC,AGG,high_ic,False,,board_overlap_score_lag5 ic_cross=-0.174 — review for leakage
IC,AGG,high_ic,False,,has_hot_board_lag5 ic_cross=-0.174 — review for leakage
IC,AGG,high_ic,False,,is_dt_lag2 ic_cross=-0.207 — review for leakage
