feature,mean_nonzero_ratio,constant_stock_ratio,tier
broad_main_net,0.0,0.940506,event
broad_main_net_accel,0.0,0.940506,event
broad_main_net_ma10,0.0,0.940506,event
broad_main_net_ma20,0.0,0.940506,event
broad_main_net_ma5,0.0,0.940506,event
comment_attention,0.0,1.0,event
comment_attention_accel,0.0,1.0,event
comment_attention_ma10,0.0,1.0,event
comment_attention_ma20,0.0,1.0,event
comment_attention_ma5,0.0,1.0,event
comment_institution,0.0,1.0,event
comment_institution_accel,0.0,1.0,event
comment_institution_ma10,0.0,1.0,event
comment_institution_ma20,0.0,1.0,event
comment_institution_ma5,0.0,1.0,event
comment_trend,0.0,1.0,event
comment_trend_accel,0.0,1.0,event
comment_trend_ma10,0.0,1.0,event
comment_trend_ma20,0.0,1.0,event
comment_trend_ma5,0.0,1.0,event
concept_momentum_12m,0.0,1.0,event
concept_momentum_12m_accel,0.0,1.0,event
concept_momentum_12m_ma10,0.0,1.0,event
concept_momentum_12m_ma20,0.0,1.0,event
concept_momentum_12m_ma5,0.0,1.0,event
concept_momentum_3m,0.0,1.0,event
concept_momentum_3m_accel,0.0,1.0,event
concept_momentum_3m_ma10,0.0,1.0,event
concept_momentum_3m_ma20,0.0,1.0,event
concept_momentum_3m_ma5,0.0,1.0,event
concept_momentum_6m,0.0,1.0,event
concept_momentum_6m_accel,0.0,1.0,event
concept_momentum_6m_ma10,0.0,1.0,event
concept_momentum_6m_ma20,0.0,1.0,event
concept_momentum_6m_ma5,0.0,1.0,event
has_gap_flow_market_cap_adj,0.0,0.410669,event
has_gap_flow_market_cap_adj_ma10,0.0,0.410669,event
has_gap_flow_market_cap_adj_ma20,0.0,0.410669,event
has_gap_flow_market_cap_adj_ma5,0.0,0.410669,event
is_concept_leader,0.0,1.0,event
is_concept_leader_ma10,0.0,1.0,event
is_concept_leader_ma20,0.0,1.0,event
is_concept_leader_ma5,0.0,1.0,event
large_minus_small,0.0,0.940506,event
large_minus_small_accel,0.0,0.940506,event
large_minus_small_ma10,0.0,0.940506,event
large_minus_small_ma20,0.0,0.940506,event
large_minus_small_ma5,0.0,0.940506,event
large_net,0.0,0.940506,event
large_net_accel,0.0,0.940506,event
large_net_ma10,0.0,0.940506,event
large_net_ma20,0.0,0.940506,event
large_net_ma5,0.0,0.940506,event
large_ratio,0.0,0.940506,event
large_ratio_accel,0.0,0.940506,event
large_ratio_ma10,0.0,0.940506,event
large_ratio_ma20,0.0,0.940506,event
large_ratio_ma5,0.0,0.940506,event
main_ratio,0.0,0.940506,event
main_ratio_accel,0.0,0.940506,event
main_ratio_ma10,0.0,0.940506,event
main_ratio_ma20,0.0,0.940506,event
main_ratio_ma5,0.0,0.940506,event
market_state_frenzy,0.0,1.0,event
