code,rows,seams,recent_seams,sawtooth,last_seam,error
300141,3716,0,0,0,,
300142,3560,0,0,0,,
300143,3575,0,0,0,,
300144,3761,0,0,0,,
300145,3646,0,0,0,,
300146,3663,0,0,0,,
300147,3778,0,0,0,,
300148,3534,0,0,0,,
300149,3377,0,0,0,,
300150,3596,0,0,0,,
300151,3693,0,0,0,,
300152,3580,0,0,0,,
300153,3714,0,0,0,,
300154,3756,4,0,0,2025-04-07,
300155,3750,0,0,0,,
300157,3671,0,0,0,,
300158,3640,17,0,0,2022-04-26,
300159,3685,0,0,0,,
300160,3759,3,0,0,2021-06-24,
300161,3678,0,0,0,,
300162,3616,0,0,0,,
300163,3417,0,0,0,,
300164,3547,0,0,0,,
300165,3680,0,0,0,,
300166,3664,0,0,0,,
300167,3681,0,0,0,,
300168,3603,0,0,0,,
300169,3625,0,0,0,,
300170,3747,0,0,0,,
300171,3753,0,0,0,,
300172,3755,6,0,0,2023-08-24,
300173,3516,0,0,0,,
300174,3704,0,0,0,,
300175,3718,0,0,0,,
300176,3615,0,0,0,,
300177,3681,0,0,0,,
300179,3610,10,0,0,2025-10-20,
300180,3583,0,0,0,,
300181,3657,3,0,0,2024-03-12,
300182,3701,0,0,0,,
300183,3737,1,0,0,2021-08-04,
300184,3476,0,0,0,,
300185,3693,4,0,0,2020-09-14,
300187,3541,6,0,0,2024-08-12,
300188,3649,0,0,0,,
300189,3489,0,0,0,,
300190,3565,0,0,0,,
300191,3664,0,0,0,,
300192,3564,8,0,0,2024-08-06,
300193,3717,3,0,0,2025-04-07,
300194,3653,0,0,0,,
300195,3658,0,0,0,,
300196,3653,2,0,0,2025-07-01,
300197,3409,0,0,0,,
300198,3485,0,0,0,,
300199,3694,0,0,0,,
300200,3665,2,0,0,2024-04-22,
300201,3430,3,0,0,2022-11-03,
300203,3631,1,0,0,2024-02-08,
300204,3711,0,0,0,,
300205,3675,0,0,0,,
300206,3705,3,0,0,2024-11-25,
300207,3679,0,0,0,,
300209,3435,0,0,0,,
300210,3702,0,0,0,,
300211,3679,0,0,0,,
300212,3583,0,0,0,,
300213,3542,2,0,0,2023-02-01,
300214,3638,0,0,0,,
300215,3660,0,0,0,,
300217,3675,5,0,0,2022-06-23,
300218,3677,3,0,0,2023-10-12,
300219,3560,1,0,0,2021-07-21,
300220,3544,0,0,0,,
300221,3615,0,0,0,,
300222,3491,0,0,0,,
300223,3453,0,0,0,,
300224,3666,3,0,0,2024-11-01,
300225,3467,0,0,0,,
300226,3566,0,0,0,,
300227,3582,0,0,0,,
300228,3609,1,0,0,2021-04-06,
300229,3587,0,0,0,,
300230,3606,4,0,0,2025-04-07,
300231,3654,3,0,0,2024-09-30,
300232,3583,1,0,0,2025-04-07,
300233,3652,3,0,0,2025-03-12,
300234,3576,1,0,0,2021-03-02,
300235,3524,1,0,0,2021-12-07,
300236,3656,0,0,0,,
300237,3624,0,0,0,,
300238,3428,0,0,0,,
300239,3591,0,0,0,,
300240,3504,0,0,0,,
300241,3583,0,0,0,,
300242,3461,0,0,0,,
300243,3547,2,0,0,2024-04-19,
300244,3632,1,0,0,2025-02-10,
300245,3634,0,0,0,,
300246,3642,0,0,0,,
300247,3501,0,0,0,,
300248,3610,3,0,0,2021-12-31,
300249,3580,0,0,0,,
300250,3572,0,0,0,,
300251,3590,0,0,0,,
300252,3537,0,0,0,,
300253,3605,0,0,0,,
300254,3603,0,0,0,,
300255,3595,0,0,0,,
300256,3588,0,0,0,,
300257,3573,1,0,0,2022-08-29,
300258,3618,0,0,0,,
300259,3592,0,0,0,,
300260,3533,1,0,0,2021-07-29,
300261,3531,0,0,0,,
300263,3530,0,0,0,,
300264,3589,0,0,0,,
300265,3483,0,0,0,,
300266,3287,0,0,0,,
300267,3462,0,0,0,,
300268,3459,0,0,0,,
300269,3441,0,0,0,,
300270,3576,0,0,0,,
300271,3449,0,0,0,,
300272,3420,5,0,0,2025-04-07,
300274,3550,0,0,0,,
300275,3567,0,0,0,,
300276,3429,0,0,0,,
300277,3514,0,0,0,,
300278,3209,0,0,0,,
300279,3364,0,0,0,,
300281,3479,2,0,0,2024-07-26,
300283,3492,1,0,0,2021-06-28,
300284,3445,1,0,0,2024-04-17,
300285,3388,0,0,0,,
300286,3521,2,0,0,2021-06-01,
300287,3433,0,0,0,,
300288,3407,0,0,0,,
300289,3473,0,0,0,,
300290,3278,0,0,0,,
